iter	MAE	RMSE
339	0.3868893586	0.5239940554
340	0.386782712	0.5238874537
341	0.3866637505	0.5237025725
342	0.3864786822	0.5234549611
343	0.3862896057	0.5232496566
344	0.3861563276	0.5230172675
345	0.3860772919	0.522796951
346	0.3859100265	0.5225944631
347	0.3857660041	0.5225098295
348	0.3856510324	0.5223247471
349	0.3855259872	0.5221155952
350	0.3854439484	0.522021349
351	0.3852078941	0.5218419003
352	0.3849927251	0.5216371397
353	0.3847804926	0.5213854304
354	0.384607136	0.5211481349
355	0.3845291806	0.5210194767
356	0.3843702955	0.5208997716
357	0.3842351664	0.5207534388
358	0.3841818603	0.5205599933
359	0.3840812958	0.5203668696
360	0.3839122638	0.5202192674
361	0.3839058188	0.5202137683
362	0.383830601	0.5200375216
363	0.383541853	0.5197434674
364	0.3833470984	0.5195679654
365	0.3832141198	0.5193281015
366	0.3829768937	0.5191370483
367	0.3828542874	0.5190217785
368	0.3827695186	0.5189184077
369	0.3826965533	0.518840923
370	0.3825847445	0.5187476487
371	0.3823946085	0.5185633827
372	0.3823310945	0.5183787271
373	0.3821367565	0.5182266366
374	0.3819868497	0.518103782
375	0.3817851305	0.51790514
376	0.3817050393	0.5177839789
377	0.3816992585	0.5177480534
378	0.3815626787	0.5176204456
379	0.3814953315	0.5174927793
380	0.3813196167	0.5173255106
381	0.3813015479	0.5173054138
382	0.3811166941	0.5170884241
383	0.3811102784	0.5170823573
384	0.3810207969	0.5169927224
385	0.3809261626	0.516822873
386	0.380819577	0.5166503823
387	0.3806212046	0.5164412416
388	0.3804982872	0.5161640433
389	0.3803411171	0.5160002606
390	0.3801778686	0.5157300673
391	0.3801014886	0.5156179697
392	0.3800314482	0.5155185292
393	0.3798443306	0.5152798958
394	0.3797715981	0.5152356388
395	0.3795512202	0.5150485658
396	0.3794364532	0.5149624775
397	0.3792804677	0.5147734455
398	0.3791814004	0.5146444258
399	0.3790978893	0.514529247
400	0.379006217	0.5144014567
401	0.3788635879	0.5142795183
402	0.3787818581	0.5141839729
403	0.3786330681	0.5140311076
404	0.3785774574	0.5139821366
405	0.3784580694	0.513847299
406	0.3782900665	0.5136262115
407	0.3780816032	0.5133888967
408	0.3779799538	0.5131440838
409	0.3777943087	0.5129799382
410	0.3776887688	0.5128369337
411	0.3776585994	0.5127860248
412	0.3775362112	0.5126032641
413	0.3774452418	0.5124918482
414	0.3773069416	0.5123017068
415	0.3771031149	0.5121197565
416	0.3769822478	0.511942186
417	0.3768774434	0.51172767
418	0.3767217776	0.5115714399
419	0.3764975325	0.5113714173
420	0.3763853347	0.5111827213
421	0.3763796124	0.511177196
422	0.3761852905	0.5109414933
423	0.3760944905	0.5107966473
424	0.3759898737	0.5106407629
425	0.3759069351	0.510522078
426	0.3757514385	0.5103068158
427	0.3755666783	0.5101301201
428	0.3754128033	0.5099774475
429	0.375171947	0.5097206799
430	0.3750981997	0.5095685144
431	0.3749738577	0.509391589
432	0.3748241265	0.5092830188
433	0.3747372935	0.5090912512
